scrape_week,country,source,matched_model,listing_count,previous_week_count,absolute_change,pct_change
2026-W22,Libya,OpenSooq,Dacia Logan,1,0,1,
2026-W22,Libya,OpenSooq,Fiat Doblo,1,0,1,
2026-W22,Libya,OpenSooq,GAC GS3,1,0,1,
2026-W22,Libya,OpenSooq,Hyundai Accent,2,0,2,
2026-W22,Libya,OpenSooq,Jetour X70,2,0,2,
2026-W22,Libya,OpenSooq,Kaiyi X3 Pro,1,0,1,
2026-W22,Libya,OpenSooq,Kia KX1,1,0,1,
2026-W22,Morocco,Avito,Dacia Duster,9,0,9,
2026-W22,Morocco,Avito,Hyundai Accent,15,0,15,
2026-W22,Morocco,Moteur.ma,Dacia Duster,1,0,1,
2026-W22,Morocco,Moteur.ma,Geely Coolray,1,0,1,
