country,source,matched_model,related_keyword,listing_count
Libya,OpenSooq,Dacia Logan,2026,1
Libya,OpenSooq,Fiat Doblo,00km,1
Libya,OpenSooq,Fiat Doblo,2026,1
Libya,OpenSooq,Fiat Doblo,new,1
Libya,OpenSooq,GAC GS3,00km,1
Libya,OpenSooq,GAC GS3,2025,1
Libya,OpenSooq,GAC GS3,2026,1
Libya,OpenSooq,GAC GS3,new,1
Libya,OpenSooq,Hyundai Accent,00km,2
Libya,OpenSooq,Hyundai Accent,2026,2
Libya,OpenSooq,Hyundai Accent,new,2
Libya,OpenSooq,Jetour X70,00km,2
Libya,OpenSooq,Jetour X70,2025,2
Libya,OpenSooq,Jetour X70,2026,2
Libya,OpenSooq,Jetour X70,new,2
Libya,OpenSooq,Kaiyi X3 Pro,00km,1
Libya,OpenSooq,Kaiyi X3 Pro,2026,1
Libya,OpenSooq,Kaiyi X3 Pro,new,1
Libya,OpenSooq,Kia KX1,00km,1
Libya,OpenSooq,Kia KX1,2026,1
Libya,OpenSooq,Kia KX1,luxury,1
Libya,OpenSooq,Kia KX1,new,1
Morocco,Avito,Dacia Duster,00km,9
Morocco,Avito,Dacia Duster,2025,9
Morocco,Avito,Dacia Duster,2026,9
Morocco,Avito,Dacia Duster,auto,9
Morocco,Avito,Dacia Duster,automatique,9
Morocco,Avito,Dacia Duster,disponible,3
Morocco,Avito,Dacia Duster,dédouané,1
Morocco,Avito,Dacia Duster,full option,9
Morocco,Avito,Dacia Duster,luxury,9
Morocco,Avito,Dacia Duster,neuf,1
Morocco,Avito,Hyundai Accent,00km,15
Morocco,Avito,Hyundai Accent,2025,6
Morocco,Avito,Hyundai Accent,2026,15
Morocco,Avito,Hyundai Accent,auto,15
Morocco,Avito,Hyundai Accent,automatique,15
Morocco,Avito,Hyundai Accent,disponible,4
Morocco,Avito,Hyundai Accent,full option,4
Morocco,Avito,Hyundai Accent,luxury,3
Morocco,Avito,Hyundai Accent,neuf,3
Morocco,Avito,Hyundai Accent,toutes options,3
